fen,next_move,move_type,material_diff,num_legal_moves,is_in_check,center_control
7r/2ppR3/3k1p2/p3p2p/4P3/5Q1P/PPPP1P2/RNB1KB2 b Q - 0 14,d6e7,1,24,17,0,4
6n1/1rpk1p2/8/1p1p2N1/1P2P2P/2P3P1/P1K2b2/r7 b - - 0 21,f7f5,0,-11,34,0,2
8/6k1/P7/2Q1pP1p/4P2P/8/8/5K2 w - - 7 40,c5c1,0,11,29,0,4
rnbk2nr/pppp2pp/8/4Pp2/P7/P6P/2PKPP2/2R5 w - f6 0 13,f2f4,0,-14,22,0,0
r1b5/1p6/1k3N2/pPp5/2P5/5p2/3NPKPP/5BR1 w - - 0 26,g2f3,1,7,25,0,4
rnbqk1nr/ppppb1pp/4pp2/4N3/2P5/2N5/PP1PPPPP/R1BQKB1R b KQkq - 3 4,f6e5,1,0,23,0,2
1r6/p1qp1k2/1pp4B/8/3P4/N2P2P1/PP4K1/1R6 b - - 1 23,c7d8,0,-2,27,0,2
rn1qkbnr/1bppp1pp/5p2/p7/2P5/8/PP1PPPPP/RNB1KBNR w KQkq - 0 4,g1f3,0,-8,20,0,1
r4k2/p2n4/b1pp3p/5p2/P1p4N/3P4/1P2KPPP/3N1B1R w - - 2 17,d3d4,0,3,20,0,1
6n1/6P1/b2p3r/7R/1P5P/3k4/8/3K4 b - - 0 32,h6h5,1,-4,18,0,3
3r2nr/8/5pp1/2k1P2p/3p1p2/7P/7P/N3K2R b - - 2 34,f6e5,1,-7,24,0,5
2b2r2/r6p/8/5p2/p3k3/7K/P1R5/8 w - - 0 33,c2b2,0,-10,18,0,0
7R/4k3/8/7R/1P6/PB2P3/1K3P2/8 w - - 1 40,h8e8,0,17,42,0,4
6k1/2pp4/6p1/3p4/Pb1P4/6pN/2P5/2K5 w - - 2 26,c2c4,0,-2,10,0,1
1k5r/4p2p/6p1/p7/6pP/1P2K3/P7/RN5R w - - 4 28,h1c1,0,6,21,0,2
4k1B1/N3p3/n1pp4/7P/1p6/3P4/2PNPP2/b3K3 b - - 0 23,a1d4,0,4,18,0,4
3q1b1r/p1p2k1R/3pp3/6p1/1P6/2P1P3/P2P1PP1/RNB2KN1 b - - 0 14,h8h7,1,4,6,1,2
6n1/4p1b1/pk6/8/2pP3p/P5PN/P6R/R4K2 w - - 1 35,h2e2,0,7,24,0,1
rn1qkbnr/1p1bp1p1/2p2p2/pN1p3p/1P6/2P2P2/P2PP1PP/1RBQKBNR w Kkq - 0 7,c1a3,0,0,28,0,3
rnbqkb2/2pp1ppr/1p2p3/p7/2P5/P2P1P2/1P1KP3/RNBQ1BN1 b q - 0 8,f8a3,1,-3,34,0,1
8/8/3p2k1/8/3P2p1/N7/P3P3/6K1 w - - 0 39,a3c4,0,4,12,0,1
Q7/8/8/1p2k1Np/8/NP5P/3PP1P1/R2K1B1R w - - 3 24,h1g1,0,31,41,0,3
1r5r/4n3/2p2kp1/7p/1p1P2PP/P1NKP3/3P1P2/R1B1N1R1 b - - 2 28,b4c3,1,9,29,0,3
3qkb1r/3np3/b7/2pp3p/7P/1PP1P1P1/3P4/r1BQK1NR b K - 0 17,a1a4,0,-6,33,0,3
4k3/5pp1/1N1p4/5bP1/1n6/8/Pb2K3/8 b - - 2 38,b4a2,1,-7,30,0,5
5N2/2k5/b1ppP3/p4p1p/7P/P1P2P2/P3P1PR/R3KBN1 b Q - 0 24,a6b7,0,19,15,0,3
8/2N5/7k/7P/5B2/1K3N2/5QR1/8 b - - 6 34,h6h5,1,24,2,1,0
r3k3/N2p4/5p1n/4p1B1/4P3/1P3P2/8/3K4 b - - 0 23,d7d6,0,-2,16,0,2
1R4n1/3k4/b2p2p1/8/8/4PP2/7P/1K4NR b - - 0 29,a6b5,0,8,16,0,1
rnbqkb1r/2ppp1pp/1p3p2/p7/P7/1P3N1B/2PPPK1P/RNBQ3R w kq - 0 7,h3d7,1,1,37,0,2
r3kb1r/1p2p1pp/p1P2p1n/7P/4PP2/PPQ5/3B4/RN2K1NR b KQkq - 0 17,b7c6,1,12,21,0,1
rn3k2/3b4/ppp1p2P/4P3/PPP1P3/2N3P1/3K4/q7 w - - 0 25,c3b1,0,-14,15,0,4
rnb1k2r/pp1p1p1p/4p2n/2P3p1/8/2P1P1P1/1P1K1P1P/6qR w kq - 0 14,h1g1,1,-23,14,0,2
N7/1p1n3p/8/2k5/p5P1/4P3/PP2K1BP/6NR w - - 0 23,b2b4,0,13,25,0,3
rnbqkbnr/pp1ppp2/2p3p1/7p/2P5/1P3N2/P2PPPPP/RNBQKB1R w KQkq - 0 4,d2d3,0,0,23,0,3
8/6bk/3p4/2R5/2P5/4NP2/2P5/3K4 b - - 0 36,d6c5,1,7,15,0,3
rnbqkbnr/ppp1pppp/3p4/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,g2g3,0,0,21,0,0
7k/7p/5p1p/1p3P1P/n2p4/1K1P1N2/4P3/5B2 w - - 0 37,b3c2,0,2,16,0,3
3k4/8/n1B1PN2/2P5/1b5P/5P2/6PR/5K2 b - - 1 32,a6c5,1,10,12,0,0
rnbqkbnr/pppp2pp/4p3/5p2/8/P4N2/1PPPPPPP/RNBQKB1R w KQkq - 0 3,h1g1,0,0,21,0,2
4k2r/p4p1p/4n3/3P4/7p/3P1B1N/P7/R2QK3 w Q - 3 26,e1e2,0,11,28,0,3
r1b1k1n1/1ppqpp2/2np3P/8/Pp2P3/3P1K2/2P3P1/RNBQ2N1 b q - 2 14,g8h6,1,0,28,0,3
1k1R2r1/pp5p/4pn2/6p1/b7/P4KPB/4PP1P/6NR b - - 0 25,g8d8,1,5,2,1,3
1n1k2r1/1P5p/2p2p1P/6p1/3P2P1/8/4b1K1/5Bb1 b - - 0 27,g1h2,0,-11,25,0,3
Bnbqkb1r/5ppR/3pp3/2p1P3/P5P1/8/1PPP1PP1/RNBQK1N1 b Qk - 0 9,d8a5,0,11,26,0,3
2bq1bnr/1pp1k1p1/n2pp3/6pp/1P1P4/5P1K/1r2P1PP/1N3BNR b - - 3 14,h8h7,0,-18,30,0,2
2q2b1r/4p1pp/1ppp4/5k2/8/6PP/2PP4/1N1QK1NR w K - 1 20,b1c3,0,1,19,0,0
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,c8f5,0,0,27,0,2
BnN2b1k/3p3p/5n2/2p5/P3p3/1PP2P1P/3PPK1R/R2Q4 b - - 0 18,f8h6,0,19,20,0,3
8/4k3/6P1/8/K6p/3B1P1P/6R1/8 b - - 2 39,e7f8,0,10,7,0,0
rnbqkbnr/pp1ppppp/2p5/8/5P2/7P/PPPPP1P1/RNBQKBNR b KQkq - 0 2,d8b6,0,0,21,0,1
r3kbnr/ppp4p/n1bpp1p1/8/8/2N5/PPPPPPPP/R1BQKB1R w KQkq - 0 7,c3b1,0,7,21,0,2
8/p3kp2/5n2/6pr/5P2/4P1P1/2P5/1N2K1N1 b - - 0 20,g5f4,1,-1,24,0,2
rnr1k3/6p1/8/p7/3N4/8/K3P1Pn/8 w - - 0 33,d4f3,0,-13,16,0,0
5k2/5p2/8/4p3/1p5B/3P1P2/8/5K2 b - - 4 31,e5e4,0,2,7,0,1
rn2kbn1/ppp1ppp1/3p4/8/7r/1P2P3/P1PPNK1P/RNB4R b q - 0 11,c7c5,0,-1,33,0,3
7r/7p/n1p1k3/4p3/7P/bP4K1/2P1P3/5B2 w - - 2 29,c2c3,0,-7,14,0,0
rnbqkbnr/pppp3p/5pp1/4p3/P6P/7R/1PPPPPP1/RNBQKBN1 w Qkq - 0 4,h3c3,0,0,28,0,0
rn3k1r/ppp4p/4b3/7Q/P7/6P1/2P1PP1P/R1B1KR2 b Q - 2 16,e6d7,0,8,25,0,1
rnbqkbnr/ppp1p1pp/3p4/5p2/3P4/P7/1PP1PPPP/RNBQKBNR w KQkq - 0 3,b1c3,0,0,27,0,2
rnbk4/pp1p1p1p/2p5/8/5R2/2KPp2N/P1P3BP/2RQ4 w - - 1 17,g2d5,0,11,41,0,6
rnbqkbnr/p2ppppp/1p6/2p5/6P1/5P1P/PPPPP3/RNBQKBNR b KQkq - 0 3,f7f6,0,0,21,0,1
6k1/p1p5/P2p4/8/8/4K1P1/r2NB3/8 b - - 3 33,g8f8,0,0,16,0,1
rn1qkbnr/1p2pp2/p2p2p1/3p3P/5P2/2P4N/PP1PP3/RNBQK2R b KQkq - 0 8,h8h5,1,0,26,0,2
r1bqkbnr/2ppp2p/5p2/pPn3p1/P3P1P1/3B3N/1P1PQP1P/RNB1K2R b KQkq - 0 8,c5d3,1,1,24,0,2
7k/8/3p4/pp1K1p2/7P/6r1/8/n7 w - - 2 34,d5d6,1,-11,5,0,3
5k2/2pp4/6p1/2bp4/P2P4/1K6/8/5q2 b - - 1 32,c5d4,1,-14,35,0,2
r1bqkb1r/p1p1pppp/1p3n2/8/1np4P/5PPR/PP1PP3/RNBQKBN1 w Qkq - 0 7,d1b3,0,-1,19,0,1
8/8/4p3/5p2/8/2k1PQ2/2P3K1/2B5 b - - 5 38,c3b4,0,12,5,0,3
4k3/8/p3pp2/2b3p1/b1P3P1/N6N/R2P1P2/4K2R b K - 1 19,c5d6,0,10,24,0,3
rn2kbr1/pbqppp1p/5np1/1p1P4/1P6/8/P1PQPPPP/RN2KBNR b KQq - 0 7,g6g5,0,-2,37,0,4
rn1qk3/2pp1p2/1p2p3/p3P1p1/6P1/3P2N1/PPPN1K1R/RQ3B2 w q - 0 21,f2e1,0,10,36,0,3
r4b1r/pp2p1pk/7p/2pn4/q5p1/1P2P1K1/R1PP1P2/1NB3R1 w - - 0 21,d2d4,0,-11,25,0,1
1n2k1n1/3p4/4p3/1p4p1/4P3/1r5q/5K2/8 b - - 1 27,h3g4,0,-23,39,0,1
1nb1kbnr/r2p3p/p7/2P3B1/8/2PP4/P2N2PP/R2QK2R b KQ - 2 15,h7h6,0,6,19,0,0
8/4k3/8/8/8/N7/3P1K2/8 w - - 0 40,f2e2,0,4,14,0,0
3rkb2/p2b4/p2pp3/1p4pP/4pp2/2P5/1B1P2K1/1N4N1 b - - 4 23,g5g4,0,-7,17,0,2
5knB/p1p2p1p/3p2p1/nNP5/p6P/8/4BP2/4K1NR w K - 1 18,e2d3,0,7,32,0,3
2r5/3p3k/5p1p/8/P3K1P1/5P2/7P/6R1 b - - 1 32,h7g8,0,1,22,0,1
5r1r/p3k1bp/n1p1p2n/P1p5/4p1PK/1P2PP2/3P3P/7q b - - 0 23,g7e5,0,-27,44,0,5
rnbqkbn1/ppp3p1/3p4/4p3/2P2PP1/r6B/1P1PK2P/RNB3NR b q - 1 10,a3a1,1,-9,42,0,2
6nr/3ppk2/8/2P3pp/2P5/2N2P2/1b1PN2P/4K2b b - - 1 22,b2c3,1,-7,22,0,0
8/3k4/p7/1P4pp/6p1/P2PP1P1/3P1K2/R4BN1 b - - 0 32,a6a5,0,13,10,0,0
2k5/p3p3/1p6/1N6/1P2n1P1/8/4P3/6K1 b - - 2 34,e4g5,0,0,16,0,0
8/1k3p2/n7/3p4/2BP2R1/N3P1P1/2K5/8 w - - 7 33,c4a6,1,9,26,0,5
rnb2b2/1p1ppkp1/p4n2/8/2p5/PPP3P1/1B1P1P1R/RN2K3 w Q - 0 14,h2h3,0,-1,21,0,1
rn1k4/pp3p1R/4p3/3p4/P3Pp2/3P2r1/1B1K4/RN3BN1 w - - 0 15,h7f7,1,6,37,0,4
5b1r/1b2p1p1/3B2k1/7p/3K1P1P/6P1/1P6/5BN1 b - - 2 29,b7e4,0,-1,20,0,2
3k4/r1p1pp2/3p3n/p7/P7/8/P1PPPP2/1R1QK3 w - - 1 21,d2d3,0,7,20,0,0
rnbqkbnr/2pppppp/8/pp6/7P/1P6/P1PPPPP1/RNBQKBNR w KQkq - 0 3,c1b2,0,0,22,0,0
r1bq1b2/p1pk2p1/n2p1p2/1p1P4/5P2/1PP4P/PB1QP1nP/1R1K1B1R b - - 2 16,g2f4,1,1,20,0,2
1r2kb2/pppnp3/5p2/8/P1p3Pr/2P1P3/1P3PK1/1RB5 b - - 1 15,a7a5,0,-8,27,0,2
r1b1kb1r/p2pp1pp/n1p4n/1p6/2P2p2/qP3P1N/R2PP1PP/2BQKB1R b Kkq - 0 9,c8b7,0,-4,31,0,1
2r2k2/p4pp1/1p2p3/1B6/1P1P1b2/P7/3P2P1/RNBK4 b - - 1 20,c8d8,0,6,30,0,2
rnbq1bnr/pppp1kpp/4pp2/8/7P/PQP5/1P1PPPP1/RNB1KBNR b KQ - 2 4,d7d5,0,0,27,0,2
8/5k2/2n5/8/K5pp/8/8/8 b - - 3 40,c6e5,0,-5,18,0,2
1n1k1b2/6p1/1p1p1p2/3q4/5p2/1K6/8/8 w - - 10 39,b3a4,0,-20,6,1,0
8/8/5P2/p7/P4P2/6R1/3k4/5K2 b - - 1 38,d2d1,0,7,3,0,0
rnbqkb1r/p1ppp1pp/5p1n/1P6/8/1P6/P2PPPPP/RNBQKBNR w KQkq - 1 4,f2f3,0,1,21,0,0
r1b1kbn1/pp2ppp1/P1pq4/6P1/4p3/8/1PPPK1B1/RNBr4 w q - 0 13,e2d1,1,-16,22,0,1
rnbqkbn1/ppppp1p1/8/8/2P1P1p1/8/PPQP1P1R/RNB1K1N1 b Qq - 0 7,a7a6,0,1,18,0,0
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d1g4,0,0,30,0,1
1nbk1r2/1rp2Q1p/3p4/p7/P3P1P1/2P4P/3B3K/R4B1R w - - 1 26,f7f8,1,10,46,0,3
r1bqkb1r/pppppppp/8/4nn2/8/2P3PP/PP1PPP2/RNBQKBNR b KQkq - 0 5,e5g4,0,0,28,0,1
8/6k1/8/1N5p/1PP1p2P/4p2P/6p1/1K6 w - - 0 39,b5c3,0,3,12,0,2
8/8/k7/8/1P1p4/6p1/3P4/1NB2KN1 w - - 2 39,c1b2,0,9,12,0,0
4kbnr/1p6/r1p2P2/3p2Np/P2P4/P3K3/1BP1P1Pq/RN3B2 w - - 3 23,g2g4,0,-5,21,0,5
1n2r3/7p/8/1p1k4/2p3p1/2P4N/5K2/2b5 b - - 3 37,b8d7,0,-11,33,0,5
7r/2r2n2/3k2p1/pp3p2/8/1P1PPN1P/5PBP/3RK3 w - - 2 24,f3e5,0,0,19,0,4
5r2/8/3P1k2/6pp/4P3/7P/4K1P1/8 b - - 1 37,g5g4,0,-3,15,0,1
5r2/2p5/7p/p4p1k/8/P2P1N2/P2K1P1P/1R3B1R w - - 0 23,f3e5,0,12,32,0,3
1n3bn1/rp1k4/3p4/p3p2p/P1P4P/8/NPP1PP2/R1KQ4 b - - 0 19,g8e7,0,5,21,0,2
rnbqkbnr/p1p1pppp/1p6/3p4/8/P6N/1PPPPPPP/RNBQKB1R w KQkq - 0 3,h1g1,0,0,19,0,0
r1bq1bnr/pppk2pp/2nppp2/8/P3P1P1/R4P2/1PPP2BP/1NBQK1NR b K - 2 6,d8e8,0,0,25,0,5
r1b1kb1r/1p2ppp1/2n4p/pN6/2n2P2/1P3NP1/P2BP2P/R2QK2R b KQkq - 1 11,c4d2,1,6,34,0,3
rnbq1b2/1ppkp1p1/3p3r/p6p/P1P1n2N/4PP2/1P1P2PP/R1BQKB1R b KQ - 0 9,e4d2,1,-2,29,0,1
B6r/p1pnk3/6np/8/2PK2P1/N7/1B6/6R1 b - - 4 26,h8a8,1,2,30,0,2
k7/8/5B2/4Q3/4B3/N1PP4/5Pp1/3K2N1 b - - 3 36,a8a7,0,23,1,1,0
4k3/1r3n2/pp2p1p1/7p/4N2P/nPK2PP1/4P3/2R2B1R w - - 4 28,c3d4,0,5,25,0,2
r1bqkbnr/ppp1pppp/n2p4/8/1P6/2P5/P2PPPPP/RNBQKBNR w KQkq - 0 3,b1a3,0,0,22,0,1
8/1k6/8/3N1p1P/8/3P2P1/8/5KN1 b - - 3 39,b7a6,0,8,7,0,1
r2qkbnr/pp5p/2np3p/4pp2/1P6/3P3P/P1PKPP1P/RN1Q3R b kq - 1 9,g8e7,0,-5,32,0,5
r1b1kb1r/ppp1ppp1/1n6/7p/2p1nP2/8/PP2KNPP/RN1QBB1R b kq - 1 9,c7c6,0,6,32,0,1
rnb2qnr/p1ppbppp/1p3k2/4N3/2P5/5N2/PPQPPPPP/R1B1KB1R w KQ - 3 7,e5f7,1,1,36,0,4
r1bqkbnr/pppppppp/n7/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 2 2,f2f4,0,0,20,0,0
rn1k1bnr/p3p1pp/2p1B3/1p3P2/7P/5P2/PPPP1P2/1RBQK2R b K - 0 10,h7h6,0,8,14,0,1
5b1r/2p4p/2q3k1/8/4p1p1/8/1N6/4K3 b - - 3 37,c6d6,0,-18,36,0,2
2n2k2/8/2p5/4KPN1/2p3P1/8/1P6/8 w - - 1 38,g5f7,0,1,14,0,4
8/2k5/7R/8/7P/5P1P/P5B1/4K3 w - - 5 36,h6b6,0,12,21,0,1
8/3kpn2/3p1p2/7p/5P1P/8/4K3/8 w - - 0 34,e2f2,0,-5,9,0,1
rnbqkbnr/ppppppp1/7p/8/8/P4N2/1PPPPPPP/RNBQKB1R b KQkq - 0 2,b8a6,0,0,19,0,0
2b2kn1/r1pn1ppr/4p3/8/3P1P2/1P6/1B4P1/1N2K3 b - - 1 21,a7a4,0,-13,34,0,2
3k4/3p3B/4p2p/ppp1K3/8/8/nPP4R/1N6 b - - 1 26,d8c7,0,4,13,0,2
1R6/3k4/3pp3/1p6/1P1P4/8/1r6/K7 b - - 10 38,b2b4,1,-1,15,0,2
1n1k1b1r/1pp3p1/5p1n/4p2B/1P6/4P2N/2P2PP1/4K2R w - - 1 15,c2c3,0,-3,25,0,1
1nbqkbn1/1ppp4/4p3/3P1p2/p7/PP1BP2P/2QB3P/RN2K2R w KQ - 0 14,h1g1,0,7,35,0,2
rr6/p2p1k2/p3p3/2P4p/1P3P1P/8/P3N3/2QN1K2 b - - 6 27,b8b4,1,5,21,0,1
rnbqkbn1/pppppppr/8/7p/P7/N4N2/1PPPPPPP/R1BQKB1R b KQq - 3 3,h7h8,0,0,21,0,0
1r2k2r/p5pp/2p4R/5Q2/p5p1/3P3B/3PP3/1N2K1N1 b k - 0 21,g7h6,1,10,23,0,1
3rk1r1/1p1p1p1p/3bpnp1/RP6/8/4P2P/1PPP1PP1/2B1KBNR b K - 0 11,f6d5,0,5,28,0,4
8/3pp3/6k1/2p4p/3q4/8/4K3/8 b - - 1 28,d4e3,0,-13,35,0,4
2rqkbnr/p1p2p1p/2pp4/6B1/3Pp3/1PN5/P1P1PP2/R2QK1N1 w Qk - 1 12,g5e3,0,-3,31,0,4
rn2kbnr/ppQ5/5ppp/P3p2P/8/5P2/1P1PP1N1/2B1KB2 w - - 0 16,c7b8,1,-1,31,0,2
r1b1k3/1p1n4/p5Pp/2p5/P2B4/R5PP/1P6/3K2NR w - - 0 22,d4c5,1,6,29,0,1
rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,a2a4,0,0,22,0,2
4k2r/3n4/1pp5/4pp1p/7P/2P2KPN/P2b4/2B1R3 w - - 2 25,c1d2,1,-1,22,0,4
rnb2k2/3pp3/7n/pp3P2/P2p4/8/2PPPK1P/RN1Q1BR1 b - - 0 13,e7e6,0,12,19,0,0
k7/2p2p2/8/1P1p1P2/P6p/1R2Pp2/2P4P/2K3R1 b - - 5 33,h4h3,0,11,9,0,1
rnbqkbnr/pppp1ppp/4p3/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 0 2,b2b4,0,0,20,0,0
rn2kbnr/ppp1pp2/8/3q2p1/7P/2P4R/PP1P1P2/RNB1KBN1 w Qkq - 0 9,h4g5,1,-6,28,0,1
rnbqkbnr/pppp1ppp/8/4p3/8/4P2N/PPPP1PPP/RNBQKB1R b KQkq - 1 2,b8c6,0,0,30,0,1
4k3/p7/2p1p3/7p/P1P1Pb2/2P5/4KPR1/RN4N1 w - - 1 26,b1a3,0,14,22,0,3
3k4/p2p4/b7/1p2p3/8/PP2PP2/8/1Rr2K2 w - - 0 23,f1e2,0,-3,4,1,2
2r1k2r/p2ppp2/b1p3pR/8/8/P1N1P3/1PP5/R1BK2N1 b k - 1 15,h8h6,1,4,25,0,1
2q1kb1r/4p1pp/1p1p3n/P1p5/2P5/3P2PP/4K3/3R4 b - - 0 26,c8a6,0,-16,27,0,2
4k3/N2p4/8/4p3/6Pq/8/8/4K3 w - - 2 33,e1e2,0,-7,4,1,0
1nk5/1pp2p2/2n3p1/5b2/7P/2PP1P1R/3KB3/2R5 b - - 0 23,f5h3,1,4,21,0,3
3k4/2p5/7p/rp1n3P/p7/P4K2/6r1/8 w - - 6 40,f3g2,1,-15,2,0,1
5b1r/1k6/2ppp2p/6r1/R2KpPn1/6p1/B3N3/8 b - - 11 30,g5h5,0,-10,29,0,6
8/6k1/2P5/7R/P7/2P4P/4NK2/7R b - - 2 39,g7f6,0,17,5,0,0
r1bqk2r/pppN2pp/5pnn/8/1b6/6PP/P1PPP3/RNBQKB1R b KQkq - 0 8,b4f8,0,0,33,0,2
rnbqkbnr/ppppp1pp/5p2/8/8/2P2P2/PP1PP1PP/RNBQKBNR b KQkq - 0 2,b7b6,0,0,19,0,1
6n1/1p6/4k3/8/p1P2pp1/P7/1P2KP2/3R1B2 w - - 2 35,d1d8,0,5,20,0,3
rnbqkbnr/p1pppppp/8/1p6/7N/8/PPPPPPPP/RNBQKB1R b KQkq - 1 2,g7g6,0,0,21,0,0
Qnb1kb1r/p1pp1pp1/4p3/1p4Pp/8/2P1P1n1/PP1P1P1R/RNB1KBN1 b Qk - 0 8,c8a6,0,13,31,0,2
rn1q3r/p1ppk1pp/2b1pp2/8/6P1/8/P1PPPPBP/3QK1NR w K - 2 9,g2e4,0,-5,25,0,2
2k5/8/P7/2B3p1/1P1N3p/7P/8/4K3 b - - 1 37,c8c7,0,7,5,0,0
3qk1n1/1ppbb1pr/5p2/2Rpp2p/7N/1PNBP3/2PP1PPP/2BQK2R b K - 3 11,d7e6,0,8,27,0,3
r1b1k3/8/p1npp1p1/1p4p1/P2p4/3PP2r/2P1KPN1/5B1R b - - 1 29,h3h5,0,-7,33,0,4
2kr4/2p1ppR1/p1p4p/1p6/7P/4P2b/PPP2P2/R2NKBN1 b Q - 2 13,h3f1,1,10,28,0,3
rnbk2nr/1p1p1pp1/p2b3p/4p3/R1p3PP/1P6/2PPPP2/1NBQKBNR w K - 0 10,a4a6,1,8,28,0,0
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,d7d5,0,0,20,0,0
rnbqk3/2pp1n2/pp6/2P2p2/1PP5/P7/5PP1/RN1Q1K2 w q - 0 14,d1d7,1,-5,29,0,3
rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq - 0 1,h7h6,0,0,20,0,0
7R/7p/2R5/4k3/2P2P2/5P1P/7P/1N1K1B2 b - - 0 25,e5f4,1,20,3,1,3
rn1qkbnr/ppp1p1pp/5p2/3p4/6R1/5N2/PPPPPP1P/RNBQKB2 b Qkq - 0 4,g7g6,0,2,23,0,3
r1b2k2/2n2p2/p7/5p1P/P7/R1P1P3/3P1P1R/1N2K1N1 w - - 0 20,h2g2,0,8,21,0,2
8/8/3N2k1/P1P5/3R4/R3P1PP/1P2NK2/2B5 b - - 6 36,g6h5,0,25,6,0,0
4k3/6r1/p6p/3p4/3p1P1n/3p3b/K7/8 w - - 6 40,a2a1,0,-15,6,0,1
1nQ3nr/r2p1kp1/p6p/P3pp2/5P2/2NP2PN/P3PR2/R2K1B2 b - - 1 19,e5f4,1,12,18,0,2
8/8/3k1p2/Bp4p1/6P1/P1N1PP1B/RPPK4/8 b - - 0 27,d6c5,0,17,8,0,3
r1bqkbnr/ppppppp1/7p/8/PP6/8/3PPPPP/RNBQKBNR b KQkq - 0 6,h8h7,0,2,18,0,0
r1b5/pp1pnk2/2p3p1/7p/5K1P/8/6P1/5R2 b - - 2 26,e7f5,0,-10,18,0,2
3k1b1r/p1p1pppp/8/2n5/p1B2n1P/P6R/R2N4/B3K1N1 b - - 4 17,f4h3,1,3,30,0,2
Bn1k4/p4pp1/1p6/4P1p1/2P4r/8/PP1N4/R4K2 b - - 0 22,h4c4,1,2,27,0,2
rnbqkbn1/ppppp1p1/5pr1/6P1/2P1PP1p/7P/PPQPB3/RNB1K1NR b KQq - 0 8,f6f5,0,0,18,0,1
r1b1k3/ppnn3p/2p5/6P1/P2P4/N1P1K1P1/1P2P3/1RB2q2 b q - 1 17,d7b8,0,-9,37,0,3
2b4n/3p4/p1p1k3/P1PP2K1/8/8/8/8 b - - 0 33,c6d5,1,-6,5,1,3
r3k2B/p3p2p/1p6/3q2p1/1P4P1/N3P3/P6P/R3K1NR w KQq - 0 19,h8d4,0,5,23,0,3
1rbr4/3p2pP/p1pk1p2/8/1P3K1p/q7/8/8 b - - 0 31,a3b4,1,-26,34,0,4
6nr/p6p/n1k3p1/5p2/2P2P1P/1P1P4/6P1/2R1KR2 w - - 1 22,b3b4,0,1,19,0,3
rnb1kb1r/pp1p1ppp/2p5/4P3/8/8/PPPPPN2/RNBQKB1q w Qkq - 0 8,f2h1,1,-3,18,0,1
k7/8/8/7p/1P3Q2/N4K1P/4BP1P/2R5 w - - 1 29,f4e4,0,23,48,0,4
7b/4p1kp/5R2/8/4K1p1/4P3/r4P2/1N4N1 w - - 4 26,f6b6,0,2,26,0,4
B5Q1/2pnk3/8/p1p2p2/5P2/N2P4/P3KP2/R7 b - - 2 23,d7e5,0,17,10,0,3
4k3/8/3p2pn/1P2p3/4P3/7r/P4PKP/7R w - - 0 24,g2h3,1,-1,15,0,1
r2qk2r/pp2pp1p/7b/2p1p1p1/1P4Q1/RP4P1/2PP3P/1NB1KBNR w Kkq - 1 11,b4c5,1,7,44,0,2
rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1,c7c6,0,0,20,0,0
r2qk1nr/3pp3/2p5/p5pp/P2P2p1/RPP5/1B2KP1b/1bN5 w kq - 0 19,b3b4,0,-19,15,0,2
3k2r1/3np1b1/2p5/6Np/1B6/pP6/P3PP1P/4RK1R b - - 4 23,h5h4,0,6,25,0,4
8/4B2k/N7/1B6/5P2/3K4/1P6/8 b - - 8 37,h7g6,0,11,5,0,0
3k4/2p5/b1R1p3/2N5/8/1PP5/R3P3/2Q1KB2 w - - 1 26,c5a6,1,23,40,0,2
rnbQkbnr/p1p3p1/1p5p/4p3/8/1P3P1P/P1P1P2P/RN2KB1R b KQkq - 1 10,e8d8,1,4,2,1,1
rnbqkbnr/p1ppppp1/1p5p/4N3/8/2P5/PP1PPPPP/RNBQKB1R b KQkq - 1 3,h8h7,0,0,19,0,0
1k6/8/8/4P3/6R1/2P1PP1P/1B6/2K4R w - - 11 40,f3f4,0,18,30,0,5
rn1qkbnr/p2bpNp1/1ppp3p/8/P5P1/5P2/1PPPP2P/RNBQKB1R b KQkq - 0 6,e8f7,1,1,20,0,2
1nbqk1n1/1p1pb3/2p2p2/7p/1p1P4/5N2/r1P1PPPP/RN1QKB1R w KQ - 0 10,a1a2,1,2,23,0,4
r1bqkb1r/ppp1p1pp/3Q1n2/5p2/P7/2P1P3/1P3PPP/RNB1KBNR b KQkq - 0 7,e7d6,1,3,28,0,3
rn1qkbnr/p1pbpppp/3p4/1p6/3P4/5P1P/PPPQP1P1/RNB1KBNR b KQkq - 2 4,f7f5,0,0,25,0,1
r1bqk1nr/ppppbppp/n3p3/8/8/1P1P1N2/P1PKPPPP/RNBQ1B1R b kq - 0 4,b7b6,0,0,28,0,1
